group,rank,team,slug,club,club_slug,region,team_depth,team_depth_label,cpi,movement,games_tracked,latest_tournament,latest_record,ranking_flags,manual_review_note,issue_types,recommended_action,same_group_possible_duplicate_matches,same_club_other_teams_in_group,quiksilver_old_rank,quiksilver_new_rank,quiksilver_weight,logo,team_page,club_page,manual_decision,approved_canonical_team,approved_canonical_club,notes
16U Girls,18,LB Viking,lb-viking-16u-girls,Viking,viking,Los Angeles,1,primary/A-level,1693.3,0,28,Quiksilver Cup,1 of 6,manual_review_14u_girls_same_team_alias_merge|quiksilver_cup_2026_new_team_candidate|quiksilver_cup_2026_champion|a_team_identity_review|small_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Merged alias evidence from Long Beach Viking into Viking for 14U Girls v3.,manual_review_note_present|provisional_or_identity_review|quiksilver_evidence_review|same_club_multiple_teams_in_group,Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable. Resolve before post-JO recalibration if possible.,,Viking White #31 depth=3,,,,assets/logos/canonical/viking.webp,team.html?team=lb-viking-16u-girls,club.html?club=viking,,,,
16U Girls,19,CHAWP B,chawp-b-16u-girls,CHAWP,chawp,Inland Empire,2,secondary/B-level,1691.7,-1,7,US Club Championships,1-1,manual_review_depth_guardrail|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/chawp.webp,team.html?team=chawp-b-16u-girls,club.html?club=chawp,,,,
16U Girls,20,OVAC,ovac-16u-girls,OVAC,ovac,Los Angeles,1,primary/A-level,1687.3,0,6,Quiksilver Cup,2 of 6,quiksilver_cup_2026_new_team_candidate|quiksilver_cup_2026_runner_up|small_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,,provisional_or_identity_review|quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable. Resolve before post-JO recalibration if possible.,,,,,,assets/logos/canonical/ovac.webp,team.html?team=ovac-16u-girls,club.html?club=ovac,,,,
16U Girls,21,Palos Verdes,palos-verdes-16u-girls,Palos Verdes,palos-verdes,Los Angeles,1,primary/A-level,1685.3,-2,5,CCA JO Quals,3-2,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/palos-verdes.webp,team.html?team=palos-verdes-16u-girls,club.html?club=palos-verdes,,,,
16U Girls,22,SoCal,socal-16u-girls,SoCal,socal,Orange County,1,primary/A-level,1669.2,-2,11,US Club Championships,2-2,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/socal.webp,team.html?team=socal-16u-girls,club.html?club=socal,,,,
16U Girls,23,Legacy,legacy-16u-girls,Legacy,legacy,Central Coast,1,primary/A-level,1652.2,0,5,Quiksilver Cup,4 of 6,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/legacy.webp,team.html?team=legacy-16u-girls,club.html?club=legacy,,,,
16U Girls,24,Temple City,temple-city-16u-girls,Temple City,temple-city,Los Angeles,1,primary/A-level,1647.5,-3,9,Futures Super Finals,3-1,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/temple-city.webp,team.html?team=temple-city-16u-girls,club.html?club=temple-city,,,,
16U Girls,25,SBWPC B,sbwpc-b-16u-girls,SBWPC,sbwpc,Central Coast,2,secondary/B-level,1647.0,-3,9,US Club Championships,1-3,manual_review_depth_guardrail|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,SBWPC A #1 (sbwpc-a-16u-girls),SBWPC A #1 depth=1,,,,assets/logos/canonical/sbwpc.webp,team.html?team=sbwpc-b-16u-girls,club.html?club=sbwpc,,,,
16U Girls,26,CIU,ciu-16u-girls,CIU,ciu,Central Coast,1,primary/A-level,1590.0,-2,13,US Club Championships,1-2,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/ciu.webp,team.html?team=ciu-16u-girls,club.html?club=ciu,,,,
16U Girls,27,Arroyo Grande,arroyo-grande-16u-girls,Arroyo Grande,arroyogrande,Central Coast,1,primary/A-level,1558.1,-2,5,Futures Super Finals,2-3,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,,official_logo_needed|quiksilver_evidence_review,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/arroyogrande.webp,team.html?team=arroyo-grande-16u-girls,club.html?club=arroyogrande,,,,
16U Girls,28,Mid Valley,mid-valley-16u-girls,Mid Valley,mid-valley,Los Angeles,1,primary/A-level,1552.6,0,7,Quiksilver Cup,5 of 6,quiksilver_cup_2026_new_team_candidate|small_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,,official_logo_needed|provisional_or_identity_review|quiksilver_evidence_review,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable. Resolve before post-JO recalibration if possible.,,,,,,assets/logos/canonical/mid-valley.webp,team.html?team=mid-valley-16u-girls,club.html?club=mid-valley,,,,
16U Girls,29,Asphalt Green,asphalt-green-16u-girls,Asphalt Green,asphalt-green,Out of State,1,primary/A-level,1532.1,-3,5,Futures Super Finals,2-3,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,,official_logo_needed|quiksilver_evidence_review,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/asphalt-green.webp,team.html?team=asphalt-green-16u-girls,club.html?club=asphalt-green,,,,
16U Girls,30,Rose Bowl,rose-bowl-16u-girls,Rose Bowl,rose-bowl,Los Angeles,1,primary/A-level,1526.9,-3,7,US Club Championships,0-2,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/rose-bowl.webp,team.html?team=rose-bowl-16u-girls,club.html?club=rose-bowl,,,,
16U Girls,31,Viking White,viking-white-16u-girls,Viking,viking,Los Angeles,3,tertiary/C-level,1510.8,-3,5,CCA JO Quals,3-2,manual_review_depth_guardrail|manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,,quiksilver_evidence_review|same_club_multiple_teams_in_group,Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,LB Viking #18 depth=1,,,,assets/logos/canonical/viking.webp,team.html?team=viking-white-16u-girls,club.html?club=viking,,,,
16U Girls,32,Bulldog,bulldog-16u-girls,Bulldog,bulldog,Central Valley,1,primary/A-level,1462.9,-3,6,US Club Championships,0-2,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,,official_logo_needed|quiksilver_evidence_review,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/bulldog.webp,team.html?team=bulldog-16u-girls,club.html?club=bulldog,,,,
16U Girls,33,Clovis,clovis-16u-girls,Clovis,clovis,Central Valley,1,primary/A-level,1360.0,-3,5,Futures Super Finals,1-4,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,,official_logo_needed|quiksilver_evidence_review,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/clovis.webp,team.html?team=clovis-16u-girls,club.html?club=clovis,,,,
16U Girls,34,CDM,cdm-16u-girls,CDM,cdm,Orange County,1,primary/A-level,1360.0,-3,8,Futures Super Finals,2-2,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/cdm.webp,team.html?team=cdm-16u-girls,club.html?club=cdm,,,,
16U Girls,35,South Coast B,south-coast-b-16u-girls,South Coast,south-coast,Orange County,2,secondary/B-level,1360.0,-3,7,CCA JO Quals,1-3,manual_review_depth_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,South Coast #3 (south-coast-16u-girls),South Coast #3 depth=1,,,,assets/logos/canonical/south-coast.webp,team.html?team=south-coast-b-16u-girls,club.html?club=south-coast,,,,
16U Girls,36,Lamorinda B,lamorinda-b-16u-girls,Lamorinda,lamorinda,East Bay,2,secondary/B-level,1360.0,-3,7,US Club Championships,0-2,manual_review_depth_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,Lamorinda A #16 (lamorinda-a-16u-girls),Lamorinda A #16 depth=1,,,,assets/logos/canonical/lamorinda.webp,team.html?team=lamorinda-b-16u-girls,club.html?club=lamorinda,,,,
18U Boys,1,Newport Beach,newport-beach-18u-boys,Newport Beach,newport-beach,Orange County,1,primary/A-level,2150.0,0,15,Futures Super Finals,1-1,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/newport-beach.webp,team.html?team=newport-beach-18u-boys,club.html?club=newport-beach,,,,
18U Boys,2,CC United,cc-united-18u-boys,CC United,cc-united,East Bay,1,primary/A-level,2042.4,0,7,Quiksilver Cup,Final placement pending source score,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_final_score_pending|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/cc-united.webp,team.html?team=cc-united-18u-boys,club.html?club=cc-united,,,,
18U Boys,3,Mission,mission-18u-boys,Mission,mission,Orange County,1,primary/A-level,1996.3,0,12,Quiksilver Cup,Final placement pending source score,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_final_score_pending|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/mission.webp,team.html?team=mission-18u-boys,club.html?club=mission,,,,
18U Boys,4,Imperial,imperial-18u-boys,Imperial,imperial,Inland Empire,1,primary/A-level,1920.0,0,9,Quiksilver Cup,7 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,Imperial B #16 (imperial-b-18u-boys),Imperial B #16 depth=2,,,,assets/logos/canonical/imperial.webp,team.html?team=imperial-18u-boys,club.html?club=imperial,,,,
18U Boys,5,North Irvine,north-irvine-18u-boys,North Irvine,north-irvine,Orange County,1,primary/A-level,1907.8,0,5,Quiksilver Cup,Final placement pending source score,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_final_score_pending|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/north-irvine.webp,team.html?team=north-irvine-18u-boys,club.html?club=north-irvine,,,,
18U Boys,6,Lamorinda A,lamorinda-a-18u-boys,Lamorinda,lamorinda,East Bay,1,primary/A-level,1893.5,0,7,Futures Super Finals,1-1,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/lamorinda.webp,team.html?team=lamorinda-a-18u-boys,club.html?club=lamorinda,,,,
18U Boys,7,SoCal,socal-18u-boys,SoCal,socal,Orange County,1,primary/A-level,1879.5,0,5,SOPAC JO Quals,4-1,manual_review_low_game_count,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/socal.webp,team.html?team=socal-18u-boys,club.html?club=socal,,,,
18U Boys,8,Trojan,trojan-18u-boys,Trojan,trojan,Los Angeles,1,primary/A-level,1866.1,0,6,CCA JO Quals,1-0,manual_review_low_game_count,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Trojan B #31 (trojan-b-18u-boys),Trojan B #31 depth=2,,,,assets/logos/canonical/trojan.webp,team.html?team=trojan-18u-boys,club.html?club=trojan,,,,
18U Boys,9,Aetos,aetos-18u-boys,Aetos,aetos,Orange County,1,primary/A-level,1847.0,0,10,Futures Super Finals,1-1,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/aetos.webp,team.html?team=aetos-18u-boys,club.html?club=aetos,,,,
18U Boys,10,Stanford A,stanford-a-18u-boys,Stanford,stanford,Peninsula / San Francisco,1,primary/A-level,1813.7,0,5,Futures Super Finals,2-0,manual_review_low_game_count,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/stanford.webp,team.html?team=stanford-a-18u-boys,club.html?club=stanford,,,,
18U Boys,11,NorCal,norcal-18u-boys,NorCal,norcal,Peninsula / San Francisco,1,primary/A-level,1810.2,0,5,Futures Super Finals,3-2,manual_review_low_game_count,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/norcal.webp,team.html?team=norcal-18u-boys,club.html?club=norcal,,,,
18U Boys,12,South Coast,south-coast-18u-boys,South Coast,south-coast,Orange County,1,primary/A-level,1801.3,1,7,Futures Super Finals,3-2,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/south-coast.webp,team.html?team=south-coast-18u-boys,club.html?club=south-coast,,,,
18U Boys,13,Tsunami,tsunami-18u-boys,Rancho Tsunami,rancho-tsunami,Inland Empire,1,primary/A-level,1762.6,1,12,Futures Super Finals,4-0,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/rancho-tsunami.webp,team.html?team=tsunami-18u-boys,club.html?club=rancho-tsunami,,,,
18U Boys,14,Supreme,supreme-18u-boys,Supreme,supreme,Los Angeles,1,primary/A-level,1749.1,-2,7,Quiksilver Cup,16 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/supreme.webp,team.html?team=supreme-18u-boys,club.html?club=supreme,,,,
18U Boys,15,Sand Canyon Black,sand-canyon-black-18u-boys,Sand Canyon,sand-canyon,Orange County,2,secondary/B-level,1747.2,0,5,Quiksilver Cup,12 of 16,manual_review_depth_guardrail|manual_review_low_game_count|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,lower_depth_above_primary_same_club|possible_duplicate_team_name|quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm whether this lower-depth team should rank above the club primary team. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,Sand Canyon Red #22 (sand-canyon-red-18u-boys); Sand Canyon #30 (sand-canyon-18u-boys),Sand Canyon Red #22 depth=1; Sand Canyon #30 depth=1,,,,assets/logos/canonical/sand-canyon.webp,team.html?team=sand-canyon-black-18u-boys,club.html?club=sand-canyon,,,,
18U Boys,16,Imperial B,imperial-b-18u-boys,Imperial,imperial,Inland Empire,2,secondary/B-level,1747.2,0,7,SOPAC JO Quals,2-2,manual_review_depth_guardrail|manual_review_top25_depth_team,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Imperial #4 (imperial-18u-boys),Imperial #4 depth=1,,,,assets/logos/canonical/imperial.webp,team.html?team=imperial-b-18u-boys,club.html?club=imperial,,,,
18U Boys,17,Vanguard Blue,vanguard-blue-18u-boys,Vanguard,vanguard,Orange County,2,secondary/B-level,1738.9,0,10,SOPAC JO Quals,3-1,manual_review_depth_guardrail|manual_review_top25_depth_team,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,Vanguard Silver #41 (vanguard-silver-18u-boys),Vanguard Silver #41 depth=3,,,,assets/logos/canonical/vanguard.webp,team.html?team=vanguard-blue-18u-boys,club.html?club=vanguard,,,,
18U Boys,18,TSM,tsm-18u-boys,TSM,tsm,Los Angeles,1,primary/A-level,1733.3,0,6,Futures Super Finals,3-1,manual_review_low_game_count,,official_logo_needed,Collect official logo screenshot/source when available.,,,,,,assets/logos/canonical/tsm.webp,team.html?team=tsm-18u-boys,club.html?club=tsm,,,,
18U Boys,19,ORWP A,orwp-a-18u-boys,ORWP,orwp,Los Angeles,1,primary/A-level,1719.0,0,9,Futures Super Finals,1-3,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/orwp.webp,team.html?team=orwp-a-18u-boys,club.html?club=orwp,,,,
18U Boys,20,Commerce,commerce-18u-boys,Commerce,commerce,Los Angeles,1,primary/A-level,1713.2,0,7,Quiksilver Cup,14 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/commerce.webp,team.html?team=commerce-18u-boys,club.html?club=commerce,,,,
18U Boys,21,San Diego Shores,san-diego-shores-18u-boys,San Diego Shores,san-diego-shores,San Diego,1,primary/A-level,1690.4,3,6,Quiksilver Cup,6 of 16,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/san-diego-shores.webp,team.html?team=san-diego-shores-18u-boys,club.html?club=san-diego-shores,,,,
18U Boys,22,Sand Canyon Red,sand-canyon-red-18u-boys,Sand Canyon,sand-canyon,Orange County,1,primary/A-level,1676.9,-1,5,SOPAC JO Quals,3-2,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,Sand Canyon Black #15 (sand-canyon-black-18u-boys); Sand Canyon #30 (sand-canyon-18u-boys),Sand Canyon Black #15 depth=2; Sand Canyon #30 depth=1,,,,assets/logos/canonical/sand-canyon.webp,team.html?team=sand-canyon-red-18u-boys,club.html?club=sand-canyon,,,,
18U Boys,23,Greenwich,greenwich-18u-boys,Greenwich,greenwich,Out of State,1,primary/A-level,1662.2,0,6,Quiksilver Cup,5 of 16,manual_priority_out_of_region_elite_result|quiksilver_cup_2026_new_team_candidate|medium_large_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,provisional_or_identity_review|quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable. Resolve before post-JO recalibration if possible.,,,,,,assets/logos/canonical/greenwich.webp,team.html?team=greenwich-18u-boys,club.html?club=greenwich,,,,
18U Boys,24,SET,set-18u-boys,SET,set,Orange County,1,primary/A-level,1655.6,-2,8,Futures Super Finals,3-1,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/set.webp,team.html?team=set-18u-boys,club.html?club=set,,,,
18U Boys,25,Hieland,hieland-18u-boys,Hieland,hieland,Orange County,1,primary/A-level,1650.8,-2,12,SOPAC JO Quals,2-2,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,official_logo_needed|quiksilver_evidence_review,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/hieland.webp,team.html?team=hieland-18u-boys,club.html?club=hieland,,,,
18U Boys,26,CHAWP B,chawp-b-18u-boys,CHAWP,chawp,Inland Empire,2,secondary/B-level,1648.2,-1,6,SOPAC JO Quals,2-2,manual_review_depth_guardrail|manual_review_low_game_count|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,lower_depth_above_primary_same_club|possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm whether this lower-depth team should rank above the club primary team. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,CHAWP #43 (chawp-18u-boys),CHAWP #43 depth=1,,,,assets/logos/canonical/chawp.webp,team.html?team=chawp-b-18u-boys,club.html?club=chawp,,,,
18U Boys,27,San Francisco,san-francisco-18u-boys,San Francisco,san-francisco,Peninsula / San Francisco,1,primary/A-level,1633.0,-1,5,Futures Super Finals,2-3,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,official_logo_needed|quiksilver_evidence_review,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/san-francisco.webp,team.html?team=san-francisco-18u-boys,club.html?club=san-francisco,,,,
18U Boys,28,CIU,ciu-18u-boys,CIU,ciu,Central Coast,1,primary/A-level,1625.8,0,5,Quiksilver Cup,8 of 16,quiksilver_cup_2026_new_team_candidate|medium_large_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,provisional_or_identity_review|quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable. Resolve before post-JO recalibration if possible.,,,,,,assets/logos/canonical/ciu.webp,team.html?team=ciu-18u-boys,club.html?club=ciu,,,,
18U Boys,29,PAC Orange,pac-orange-18u-boys,PAC Orange,pac-orange,Orange County,1,primary/A-level,1620.9,-2,6,CCA JO Quals,1-1,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,official_logo_needed|quiksilver_evidence_review,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/pac-orange.webp,team.html?team=pac-orange-18u-boys,club.html?club=pac-orange,,,,
18U Boys,30,Sand Canyon,sand-canyon-18u-boys,Sand Canyon,sand-canyon,Orange County,1,primary/A-level,1555.5,-2,8,Futures Super Finals,2-3,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,Sand Canyon Black #15 (sand-canyon-black-18u-boys); Sand Canyon Red #22 (sand-canyon-red-18u-boys),Sand Canyon Black #15 depth=2; Sand Canyon Red #22 depth=1,,,,assets/logos/canonical/sand-canyon.webp,team.html?team=sand-canyon-18u-boys,club.html?club=sand-canyon,,,,
18U Boys,31,Trojan B,trojan-b-18u-boys,Trojan,trojan,Los Angeles,2,secondary/B-level,1528.5,-2,8,Futures Super Finals,4-0,manual_review_depth_guardrail|manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,Trojan #8 (trojan-18u-boys),Trojan #8 depth=1,,,,assets/logos/canonical/trojan.webp,team.html?team=trojan-b-18u-boys,club.html?club=trojan,,,,
18U Boys,32,Long Beach Shore,long-beach-shore-18u-boys,Long Beach Shore,long-beach-shore,Los Angeles,1,primary/A-level,1514.9,0,5,Quiksilver Cup,9 of 16,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_new_team_candidate|medium_large_field_weight_cap|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,provisional_or_identity_review|quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable. Resolve before post-JO recalibration if possible.,,,,,,assets/logos/canonical/long-beach-shore.webp,team.html?team=long-beach-shore-18u-boys,club.html?club=long-beach-shore,,,,
18U Boys,33,Diablo Alliance A,diablo-alliance-a-18u-boys,Diablo Alliance,diablo-alliance,East Bay,1,primary/A-level,1501.3,-3,5,Quiksilver Cup,10 of 16,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/diablo-alliance.webp,team.html?team=diablo-alliance-a-18u-boys,club.html?club=diablo-alliance,,,,
